11,Healthy Heart Day,Engage in 30 minutes of cardiovascular exercise.,"Participants are encouraged to improve heart health by doing cardio exercises like running, cycling, or swimming.",Bencoolen,2024-10-17 08:00:00,2024-10-17 14:00:00,HPB,Event,2024-10-08 13:00:00,20,0,Online,All Healthy 365 User,Null,50,Wellness Program,1,91234577,organiser@hpb.com
12,Sugar-Free Day,Eliminate added sugars from your diet today.,This event focuses on reducing sugar intake to improve energy levels and overall health.,Clementi,2024-10-18 02:00:00,2024-10-18 10:00:00,HPB,Event,2024-10-08 13:00:00,50,0,Online,Tier 1 User,Null,50,Active Family Program,1,91234578,organiser@hpb.com
13,Nature Walk Day,Take a 30-minute walk in nature to reconnect with the outdoors.,"Participants are encouraged to spend time in a natural setting, like a park or nature trail, to reduce stress and improve their mood.",Bedok,2024-10-18 20:00:00,2024-10-19 06:00:00,HPB,Event,2024-10-08 13:00:00,80,0,Physical,All Healthy 365 User,NW2024,50,Active Family Program,3,91234579,organiser@hpb.com
14,Fruit & Veggie Day,Eat five servings of fruits and vegetables today.,Promote a balanced diet by encouraging participants to focus on getting enough fruits and vegetables into their meals.,Orchard,2024-10-19 08:00:00,2024-10-19 14:00:00,HPB,Event,2024-10-08 13:00:00,110,0,Physical,All Healthy 365 User,Null,50,Active Family Program,2,91234580,organiser@hpb.com
15,Hydration Day,Drink at least 8 cups of water today.,"Participants aim to stay hydrated, which is essential for maintaining energy, focus, and overall health.",Buona Vista,2024-10-20 12:00:00,2024-10-20 16:00:00,HPB,Event,2024-10-08 13:00:00,150,0,Online,Tier 3 User,HD8899,50,Wellness Program,2,91234581,organiser@hpb.com
16,Stretch It Out Day,Spend 20 minutes stretching your body.,Participants focus on flexibility and relaxation through stretching exercises to improve posture and reduce muscle tension.,Harbourfront,2024-10-21 14:00:00,2024-10-21 19:00:00,HPB,Event,2024-10-08 13:00:00,200,0,Physical,Tier 3 User,Null,50,Fitness Program,1,91234582,organiser@hpb.com
17,Step Up Challenge,Increase your step count over the course of a week,"Step Up Challenge is a health event designed to motivate participants to increase their daily step count and improve physical fitness. Participants are encouraged to take more steps each day, with the goal of reaching a set target by the end of the challenge. The event promotes healthy habits through friendly competition, with users tracking their progress, competing against friends, and earning rewards for hitting milestones. Suitable for all fitness levels, the Step Up Challenge fosters an active lifestyle while offering fun and engaging ways to improve health and well-being.",City Hall,2024-10-23 12:00:00,2024-10-23 16:00:00,HPB,Event,2024-10-08 13:00:00,10,0,Physical,Tier 3 User,Null,50,Fitness Program,3,91234583,organiser@hpb.com
18,Hydration Challenge,Drink at least 8 cups of water every day for a month,"Hydration Challenge is a health event aimed at encouraging participants to maintain proper hydration by drinking a recommended amount of water daily. The challenge motivates users to track their water intake, set daily goals, and develop consistent hydration habits. Participants can monitor their progress, receive reminders, and earn rewards for hitting hydration targets over a specified period. Designed for people of all ages and fitness levels, the Hydration Challenge promotes overall well-being by highlighting the importance of staying hydrated for energy, focus, and physical health.",Redhill,2024-10-25 17:00:00,2024-10-25 21:00:00,HPB,Event,2024-10-08 13:00:00,20,0,Online,All Healthy 365 User,WAT2000,50,Active Family Program,1,91234584,organiser@hpb.com
19,Mindfulness Week,Meditate for the course of one week with our instructors,"Mindfulness Week is a wellness event focused on helping participants develop mindfulness practices to reduce stress and improve mental clarity. Throughout the week, participants are guided through daily activities such as meditation, deep breathing exercises, mindful eating, and journaling. The event encourages users to dedicate time to self-reflection and mental well-being, with tips and reminders to stay present and mindful in everyday situations. By the end of Mindfulness Week, participants will have cultivated a greater sense of inner calm, balance, and mental resilience, contributing to both their mental and emotional health.",Tiong Bahru,2024-10-26 14:00:00,2024-10-26 18:00:00,HPB,Event,2024-10-08 13:00:00,50,0,Physical,All Healthy 365 User,Null,50,Active Family Program,2,91234585,organiser@hpb.com
20,"10,000 Steps Challenge","Walk 10,000 steps every day for a week or month.","Join us for a transformative month of wellness challenges! From daily 10,000 steps and yoga to eliminating sugars and meditating, boost your health with varied goals: increase plank time, swap snacks, explore new workouts, and enjoy balanced meals. Ready to thrive?",Tampines,2024-10-29 10:00:00,2024-10-29 12:00:00,HPB,Event,2024-10-08 13:00:00,30,0,Physical,All Healthy 365 User,Null,50,Fitness Program,3,91234586,organiser@hpb.com
21,30-Day Yoga Challenge,Practice yoga for 30 consecutive days.,"Experience a month of mindfulness and flexibility with our 30-day yoga challenge. Commit to practicing yoga daily, building strength and serenity. Perfect for all levels, this journey enhances balance, flexibility, and relaxation. Join us to cultivate a consistent, rejuvenating yoga practice!",Newton,2024-10-30 12:00:00,2024-10-31 14:00:00,HPB,Event,2024-10-08 13:00:00,200,0,Physical,Tier 2 User,Null,50,Wellness Program,2,91234587,organiser@hpb.com
22,Plank Challenge,Increase plank holding time by 10 seconds each day.,"Push your core strength with our daily plank challenge! Increase your plank hold by 10 seconds each day for a month. This progressive challenge builds endurance, stability, and core power. Ideal for all fitness levels, join now to strengthen your core and achieve your fitness goals!",Novena,2024-11-02 08:00:00,2024-11-02 12:00:00,HPB,Event,2024-10-08 13:00:00,10,0,Physical,Tier 2 User,PL2024,50,Active Family Program,2,91234588,organiser@hpb.com
23,Squat Challenge,Start with 20 squats and increase the count daily for 30 days.,Take on our 30-day squat challenge! Start with 20 squats and increase daily to build leg strength and endurance. This progressive challenge enhances lower body strength and overall fitness. Join us to elevate your squat game and achieve your fitness goals!,Simei,2024-11-02 16:00:00,2024-11-02 18:00:00,HPB,Event,2024-10-08 13:00:00,20,0,Physical,Tier 2 User,Null,50,Active Family Program,1,91234589,organiser@hpb.com
24,Push-Up Challenge,Perform an increasing number of push-ups each day for a month.,"Prioritize your health with our 14-day sleep challenge! Aim for 7-8 hours of quality sleep each night to improve overall well-being. This challenge promotes better rest, enhanced mood, and increased energy. Join us to make restful sleep a daily habit!",Sengkang,2024-11-03 10:00:00,2024-11-03 12:00:00,HPB,Event,2024-10-08 13:00:00,30,0,Physical,All Healthy 365 User,Null,50,Fitness Program,1,91234590,organiser@hpb.com
25,Sleep Hygiene Challenge,Aim for 7-8 hours of quality sleep each night for two weeks.,"Detoxify your diet with our 30-day no sugar challenge. Eliminate added sugars to improve your health, energy levels, and overall well-being. Perfect for anyone looking to cut out sweeteners and embrace a cleaner diet. Join now for a healthier lifestyle!",Punggol,2024-11-05 18:00:00,2024-11-05 20:00:00,HPB,Event,2024-10-08 13:00:00,50,0,Online,All Healthy 365 User,Null,50,Wellness Program,3,91234591,organiser@hpb.com
26,No Sugar Challenge,Eliminate added sugars from your diet for 30 days.,"Embrace mindfulness with our meditation challenge! Meditate for 10 minutes daily for a week or a month to enhance mental clarity, reduce stress, and improve focus. Ideal for beginners and experienced practitioners alike. Join us to cultivate a daily meditation practice and find inner peace!",Ang Mo Kio,2024-11-06 19:00:00,2024-11-06 21:00:00,HPB,Event,2024-10-08 13:00:00,100,0,Online,All Healthy 365 User,SU2789,50,Active Family Program,1,91234592,organiser@hpb.com
27,Healthy Heart Day,Engage in 30 minutes of cardiovascular exercise.,"Participants are encouraged to improve heart health by doing cardio exercises like running, cycling, or swimming.",Sembawang,2024-11-10 12:00:00,2024-11-10 16:00:00,HPB,Event,2024-10-08 13:00:00,150,0,Online,Tier 1 User,Null,50,Wellness Program,2,91234593,organiser@hpb.com
28,Sugar-Free Day,Eliminate added sugars from your diet today.,This event focuses on reducing sugar intake to improve energy levels and overall health.,Bugis,2024-11-14 12:00:00,2024-11-14 18:00:00,HPB,Event,2024-10-08 13:00:00,125,0,Online,All Healthy 365 User,Null,50,Wellness Program,2,91234594,organiser@hpb.com
29,Nature Walk Day,Take a 30-minute walk in nature to reconnect with the outdoors.,"Participants are encouraged to spend time in a natural setting, like a park or nature trail, to reduce stress and improve their mood.",Kallang,2024-11-15 09:00:00,2024-11-15 11:00:00,HPB,Event,2024-10-08 13:00:00,70,0,Physical,All Healthy 365 User,Null,50,Fitness Program,1,91234595,organiser@hpb.com
30,Fruit & Veggie Day,Eat five servings of fruits and vegetables today.,Promote a balanced diet by encouraging participants to focus on getting enough fruits and vegetables into their meals.,Hillview,2024-11-18 14:00:00,2024-11-18 18:00:00,HPB,Event,2024-10-08 13:00:00,50,0,Physical,All Healthy 365 User,FW5555,50,Active Family Program,3,91234596,organiser@hpb.com
31,Hydration Day,Drink at least 8 cups of water today.,"Participants aim to stay hydrated, which is essential for maintaining energy, focus, and overall health.",Beauty World,2024-11-21 15:00:00,2024-11-21 18:00:00,HPB,Event,2024-10-08 13:00:00,30,0,Online,All Healthy 365 User,Null,50,Wellness Program,2,91234597,organiser@hpb.com
32,Stretch It Out Day,Spend 20 minutes stretching your body.,Participants focus on flexibility and relaxation through stretching exercises to improve posture and reduce muscle tension.,King Albert Park,2024-11-25 08:00:00,2024-11-25 16:00:00,HPB,Event,2024-10-08 13:00:00,20,0,Physical,All Healthy 365 User,Null,50,Fitness Program,2,91234598,organiser@hpb.com
